codigo,data_ultima_limpeza,historico
1234,2015-07-31,LIMPEZA
123456,2025-06-25,LIMPEZA
CARRINHO*-2515316152942,2025-06-11,TROCOU UMA RODA
CARRINHO*-2515316152835,2025-06-11,LIMPEZA
CARRINHO*-2515316152731,2025-06-11,LIMPEZA
CARRINHO*-2515316152625,2025-06-11,LIMPEZA
CARRINHO*-2515316152516,2025-06-11,LIMPEZA
CARRINHO*-2515407455537,2025-06-11,LIMPEZA
CARRINHO*-2515407455429,2025-06-11,TROCA DO PARAFUSO(PARAFUSO TORTO)
CARRINHO*-2515407455323,2025-06-11,LIMPEZA
CARRINHO*-2515407455216,2025-06-11,LIMPEZA
CARRINHO*-2515407455109,2025-06-11,LIMPEZA
CARRINHO*-2515407455002,2025-06-11,LIMPEZA
CARRINHO*-2515407454895,2025-06-11,LIMPEZA
CARRINHO*-2515407454790,2025-06-11,LIMPEZA
CARRINHO*-2515407454685,2025-06-11,TROCA DAS QUATRO RODAS
CARRINHO*-2515407454579,2025-06-11,LIMPEZA
CARRINHO*-2515407454474,2025-06-11,TROCA DO PARAFUSO(PARAFUSO TORTO)
CARRINHO*-2515407454370,2025-06-11,LIMPEZA
CARRINHO*-2515407454263,2025-06-11,LIMPEZA
CARRINHO*-2515407454155,2025-06-11,LIMPEZA
CARRINHO*-2515407454049,2025-06-11,LIMPEZA
CARRINHO*-2515407453944,2025-06-11,LIMPEZA
CARRINHO*-2515407453838,2025-06-11,TROCA DO PARAFUSO(PARAFUSO TORTO)
CARRINHO*-2515407453730,2025-06-11,LIMPEZA
CARRINHO*-2515407453623,2025-06-11,LIMPEZA
CARRINHO*-2515407453518,2025-06-11,LIMPEZA
CARRINHO*-2515407453413,2025-06-11,LIMPEZA
CARRINHO*-2515407453306,2025-06-11,LIMPEZA
CARRINHO*-2515407453191,2025-06-11,LIMPEZA
CARRINHO*-2515407453085,2025-06-11,LIMPEZA
CARRINHO*-2515407452980,2025-06-11,LIMPEZA
CARRINHO*-2515407452875,2025-06-11,LIMPEZA
CARRINHO*-2515407452770,2025-06-11,LIMPEZA
CARRINHO*-2515407452663,2025-06-11,LIMPEZA
CARRINHO*-2515407452558,2025-06-11,LIMPEZA
CARRINHO*-2515407452453,2025-06-11,LIMPEZA
CARRINHO*-2515407452349,2025-06-11,LIMPEZA
CARRINHO*-2515407452244,2025-06-11,LIMPEZA
CARRINHO*-2515407452139,2025-06-11,TROCOU UMA RODA(TRAVANDO)
CARRINHO*-2515407452033,2025-06-11,TROCA DO PARAFUSO(PARAFUSO TORTO)
CARRINHO*-2515407451927,2025-06-11,LIMPEZA
CARRINHO*-2515407451820,2025-06-11,TROCA DAS TRÊS RODAS E UM PARAFUSO TORTO
CARRINHO*-2515407451713,2025-06-11,LIMPEZA
CARRINHO*-2515407451609,2025-06-11,LIMPEZA
CARRINHO*-2515407451504,2025-06-11,LIMPEZA
CARRINHO*-2515407451396,2025-06-11,LIMPEZA
CARRINHO*-2515407451185,2025-06-11,LIMPEZA
CARRINHO*-2515407451291,2025-06-11,LIMPEZA
CARRINHO*-2515407451078,2025-06-11,LIMPEZA
CARRINHO*-2515407450955,2025-06-11,LIMPEZA
CARRINHO*-2515407450850,2025-06-11,LIMPEZA
CARRINHO*-2515407450744,2025-06-11,LIMPEZA
CARRINHO*-2515407450640,2025-06-11,LIMPEZA
CARRINHO*-2515407450535,2025-06-11,LIMPEZA
CARRINHO*-2515407450430,2025-06-11,LIMPEZA
CARRINHO*-2515407450325,2025-06-11,LIMPEZA
CARRINHO*-2515407450218,2025-06-11,LIMPEZA
CARRINHO*-2515407450111,2025-06-11,LIMPEZA
CARRINHO*-2515407445998,2025-06-11,LIMPEZA
CARRINHO*-2515407445891,2025-06-11,LIMPEZA
CARRINHO*-2515407445784,2025-06-11,LIMPEZA
CARRINHO*-2515407445677,2025-06-13,LIMPEZA
CARRINHO*-2515407445572,2025-06-13,LIMPEZA
CARRINHO*-2515407445464,2025-06-13,LIMPEZA
CARRINHO*-2515407445357,2025-06-13,LIMPEZA
CARRINHO*-2515407445251,2025-06-13,LIMPEZA
CARRINHO*-2515407445146,2025-06-13,LIMPEZA
CARRINHO*-2515407445038,2025-06-13,LIMPEZA
CARRINHO*-2515407444932,2025-06-13,LIMPEZA
CARRINHO*-2515407444826,2025-06-13,LIMPEZA
CARRINHO*-2515407444720,2025-06-13,LIMPEZA
CARRINHO*-2515407444615,2025-06-13,LIMPEZA
CARRINHO*-2515407444510,2025-06-13,LIMPEZA
CARRINHO*-2515407444299,2025-06-13,LIMPEZA
CARRINHO*-2515407444194,2025-06-13,LIMPEZA
CARRINHO*-2515407444086,2025-06-13,LIMPEZA
CARRINHO*-2515407443981,2025-06-13,LIMPEZA
CARRINHO*-2515407443660,2025-06-13,TROCA DAS QUATRO RODAS + PARAFUSO TORTO
CARRINHO*-2515407443555,2025-06-13,LIMPEZA
CARRINHO*-2515407443446,2025-06-13,LIMPEZA
CARRINHO*-2515407443340,2025-06-13,LIMPEZA
CARRINHO*-2515407443233,2025-06-13,TROCA DO PARAFUSO(PARAFUSO TORTO)
CARRINHO*-2515407443128,2025-06-13,LIMPEZA
CARRINHO*-2515407443021,2025-06-13,LIMPEZA
CARRINHO*-2515407442916,2025-06-13,LIMPEZA
CARRINHO*-2515407442809,2025-06-13,LIMPEZA
CARRINHO*-2515407442702,2025-06-13,LIMPEZA
CARRINHO*-2515407442595,2025-06-13,LIMPEZA
